Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),extra,
spotify:track:4maCUsIYLouBMOP09syuK8,Smoke Buddah,Redman,Muddy Waters,1,8,154480,,
spotify:track:6Wcz8k6Yu6ZHKBFq1nwcaI,Still Strugglin',Raekwon,Wu-Box - The Cream Of The Clan,1,6,139253,,
spotify:track:6WQ6UeU3OAflPdPGZTv0uH,Bring The Pain,Method Man,Tical,1,3,189760,,
spotify:track:5ZlKf4HlgrtzSGV1bowNla,Right Back at You,"Mobb Deep, Ghostface Killah, Raekwon, Big Noyd",The Infamous,1,11,293066,,
spotify:track:6FgkC4NTB8UrKyQjT2yaO0,If I Get Locked Up (Funkmaster Flex & Big Kap Feat. Eminem and Dr. Dre),"Funkmaster Flex, Big Kap, Eminem, Dr. Dre",The Tunnel,1,4,220533,,
spotify:track:3hwslkPAeN2hC48ZRfb88A,Real G's (Funkmaster Flex & Big Kap Feat. Snoop Dogg),"Funkmaster Flex, Big Kap, Snoop Dogg",The Tunnel,1,5,226600,,
spotify:track:4917mMb4S0swuW4v3BGSzx,Jesus Piece,"The Game, Kanye West, Common",Jesus Piece,1,3,233880,,
spotify:track:4l59QWcA9F9qqvNc5pwDtL,Ali Bomaye,"The Game, 2 Chainz, Rick Ross",Jesus Piece,1,2,372706,,
spotify:track:20f6Jd6eLcZhMdFChdyx1b,Scared Now,"The Game, Meek Mill",Jesus Piece,1,1,299106,,
spotify:track:54cnwzHQcIeu5vDlKnqfnD,For My Gangstaz,The Game,Untold Story - Part 2,1,2,243160,,
spotify:track:6IsPC9jl5a1Og2uYFwiaqG,Hate It Or Love It,"The Game, 50 Cent",Hate It Or Love It (International Version),1,1,207253,,
spotify:track:5wNzxDgKvPB5x45vU9vrsA,Runnin',"The Game, Tony Yayo",The Documentary,1,12,266666,,
spotify:track:1KARb8DGMQH4ShJw4bNg7c,Where I'm From,"The Game, Nate Dogg",The Documentary,1,15,188480,,
spotify:track:3zcX87Jfk6fto3j0SrfBS9,Bulletproof Diaries,"The Game, Raekwon",LAX,1,4,292339,,
spotify:track:77N9C4oMaILh2peFsL83IF,Ya Heard,"The Game, Ludacris",LAX,1,8,244552,,
spotify:track:5Rm8yqopcv2PwHul9c5IHS,All These Hoes,"The Game, Kurupt",Black Wall Street (Volume 5),1,13,262530,,
